num _unit1,num_unit2,optimizer,lr,loss
512,1024,RMSprop,0.000689616,0.110358763
2048,4096,Adagrad,0.000837361,0.095428053
256,2048,Adagrad,0.000251993,0.105397798
4096,1024,ASGD,0.000724699,0.139596052
4096,4096,Adam,0.000536279,0.143839284
4096,4096,SGD,0.0001481,0.135024476
4096,4096,Adam,8.21E-05,0.092756021
4096,4096,Adamax,0.00048473,0.091850077
256,4096,ASGD,0.000126498,0.14795106
2048,256,AdamW,0.000568674,0.146898464
1024,512,Adamax,0.000354962,0.098596079
4096,4096,Adamax,0.00096022,0.097945381
4096,4096,Rprop,1.48E-05,0.118961397
4096,256,Adadelta,0.000380119,0.146181996
1024,512,Adam,3.96E-05,0.096404819
512,2048,Adam,0.000363304,0.107156713
4096,4096,Adamax,0.000964037,0.10551864
4096,4096,Adamax,0.000210308,0.094185656
2048,4096,AdamW,0.000427151,0.148919141
512,256,Adam,0.000614497,0.10702944
1024,1024,RMSprop,0.000261876,0.100947086
4096,4096,Adamax,0.000147021,0.089218088
4096,4096,Adamax,6.28E-05,0.095419608
4096,4096,Rprop,0.00013745,0.116035093
4096,512,Adamax,0.000479986,0.093409283
